FID,Shape_Leng,Shape_Area,Tehsil,District,Province,Country,date,Lattitude,Longitude
0,2.187495417,0.171563916,Abbottabad,Abbottabad,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.10833258,73.26998213
1,1.933053088,0.137267754,Ahmadupr East,Bahawalpur,Punjab,Pakistan,2018-11-30,29.27385734,71.15180772
2,1.594747695,0.081115713,Ahmedpur Sial,Jhang,Punjab,Pakistan,2018-11-30,30.82108466,71.89329742
3,1.581975317,0.080696289,Alai,Batagram,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.86109552,73.1789922
4,2.126371112,0.113353491,Alipur,Muzaffargarh,Punjab,Pakistan,2018-11-30,29.31988261,70.77593575
5,1.189226508,0.056426364,Alpuri,Shangla,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.96612361,72.69024578
6,0.818265982,0.022874966,Ambar Utman Khel,Mohmand,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.59730287,71.47219511
7,2.391146627,0.127225312,Arif Wala,Pakpattan,Punjab,Pakistan,2018-11-30,30.24209572,73.07496157
8,2.010780145,0.085223129,Attock,Attock,Punjab,Pakistan,2018-11-30,33.7363805,72.32613523
9,5.675939938,0.880005482,Awaran,Awaran,Balochistan,Pakistan,2018-11-30,25.97094601,64.85239722
10,1.255030034,0.067671838,Baba Kot,Nasirabad,Balochistan,Pakistan,2018-11-30,28.42087545,67.85280305
11,0.948441089,0.031577679,Babuzai,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.73968321,72.4169989
12,2.637977527,0.18373477,Badin,Badin,Sindh,Pakistan,2018-11-30,24.53242425,68.89232395
13,2.173080165,0.162419721,Badinai,Killa Saifullah,Balochistan,Pakistan,2018-11-30,31.35145433,67.97494782
14,2.128156662,0.168097313,Bahawalnagar,Bahawalnagar,Punjab,Pakistan,2018-11-30,29.84461713,73.17625731
15,2.253952507,0.132465652,Bahawalpur,Bahawalpur,Punjab,Pakistan,2018-11-30,29.34217819,71.62963382
16,1.547430037,0.106986553,Bahrain,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.25833966,72.54631026
17,0.964181755,0.030259062,Bakrani,Larkana,Sindh,Pakistan,2018-11-30,27.39496203,68.18132399
18,3.176000963,0.240152215,Balakot,Mansehra,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.81801811,73.68308636
19,1.848105809,0.111889086,Balnigor,Kech,Balochistan,Pakistan,2018-11-30,25.83320599,62.34270967
20,1.744645158,0.106240713,Banda Daud Shah,Karak,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.26307939,71.06768499
21,1.754511139,0.06912421,Bannu,Bannu,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.90075039,70.56514781
22,0.162939755,0.001639101,Bar Chamarkand,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.72863005,71.20242654
23,2.872049328,0.157030362,Bara,Khyber,Khyber Pakhtunkhwa,Pakistan,2018-11-30,33.86832365,70.9748952
24,0.843519198,0.026209303,Barang,Bajaur,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.62163161,71.61965426
25,0.919517052,0.039190233,Barawal,Upper Dir,Khyber Pakhtunkhwa,Pakistan,2018-11-30,35.11299549,71.70113215
26,0.866299575,0.034755035,Barikot,Swat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.67012698,72.21310457
27,3.330047299,0.326492322,Barkhan,Barkhan,Balochistan,Pakistan,2018-11-30,29.95411661,69.61768676
28,2.039733556,0.200754912,Barshore,Pishin,Balochistan,Pakistan,2018-11-30,31.00282846,67.40815574
29,1.053708686,0.052825049,Batagram,Batagram,Khyber Pakhtunkhwa,Pakistan,2018-11-30,34.68496426,73.03664191
30,1.690433363,0.161497149,Bela,Las Bela,Balochistan,Pakistan,2018-11-30,26.26347496,66.40108907
31,4.995374298,0.919841289,Besima,Washuk,Balochistan,Pakistan,2018-11-30,27.59377207,65.3194793
32,0.597843785,0.017581867,Bettani,FR Lakki Marwat,Khyber Pakhtunkhwa,Pakistan,2018-11-30,32.63821919,70.38014745
